timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1686704655438,5823,HTTP Request,200,OK,Thread Group 1-1,text,true,,350,589,3,3,http://172.31.82.187:8000/,5820,0,42
1686704655439,5827,HTTP Request,200,OK,Thread Group 1-2,text,true,,350,589,3,3,http://172.31.82.187:8000/,5820,0,44
1686704655458,5843,HTTP Request,200,OK,Thread Group 1-3,text,true,,350,589,3,3,http://172.31.82.187:8000/,5842,0,36
1686704660872,5414,HTTP Request,200,OK,Thread Group 1-3,text,true,,350,589,3,3,http://172.31.82.187:8000/,5414,0,2
1686704661054,5608,HTTP Request,200,OK,Thread Group 1-1,text,true,,350,589,3,3,http://172.31.82.187:8000/,5608,0,5
1686704661099,5654,HTTP Request,200,OK,Thread Group 1-2,text,true,,350,589,3,3,http://172.31.82.187:8000/,5654,0,1
1686704666179,5306,HTTP Request,200,OK,Thread Group 1-3,text,true,,350,589,3,3,http://172.31.82.187:8000/,5306,0,1
1686704666782,5727,HTTP Request,200,OK,Thread Group 1-1,text,true,,350,589,3,3,http://172.31.82.187:8000/,5727,0,1
1686704666807,5707,HTTP Request,200,OK,Thread Group 1-2,text,true,,350,589,3,3,http://172.31.82.187:8000/,5707,0,1
1686704671329,5149,HTTP Request,200,OK,Thread Group 1-3,text,true,,350,589,3,3,http://172.31.82.187:8000/,5149,0,1
1686704672484,5701,HTTP Request,200,OK,Thread Group 1-1,text,true,,349,589,3,3,http://172.31.82.187:8000/,5701,0,4
1686704672549,5741,HTTP Request,200,OK,Thread Group 1-2,text,true,,350,589,3,3,http://172.31.82.187:8000/,5741,0,1
1686704676516,5186,HTTP Request,200,OK,Thread Group 1-3,text,true,,345,589,3,3,http://172.31.82.187:8000/,5186,0,1
1686704678273,5723,HTTP Request,200,OK,Thread Group 1-2,text,true,,350,589,3,3,http://172.31.82.187:8000/,5723,0,5
1686704678297,5812,HTTP Request,200,OK,Thread Group 1-1,text,true,,350,589,3,3,http://172.31.82.187:8000/,5811,0,1
1686704681700,5183,HTTP Request,200,OK,Thread Group 1-3,text,true,,349,589,3,3,http://172.31.82.187:8000/,5183,0,1
1686704683936,5639,HTTP Request,200,OK,Thread Group 1-1,text,true,,349,589,3,3,http://172.31.82.187:8000/,5639,0,2
1686704684119,5845,HTTP Request,200,OK,Thread Group 1-2,text,true,,350,589,3,3,http://172.31.82.187:8000/,5844,0,3
1686704687172,5471,HTTP Request,200,OK,Thread Group 1-3,text,true,,350,589,3,3,http://172.31.82.187:8000/,5471,0,2
1686704689553,5616,HTTP Request,200,OK,Thread Group 1-1,text,true,,349,589,3,3,http://172.31.82.187:8000/,5616,0,2
1686704689768,5648,HTTP Request,200,OK,Thread Group 1-2,text,true,,350,589,3,3,http://172.31.82.187:8000/,5648,0,7
1686704692639,5466,HTTP Request,200,OK,Thread Group 1-3,text,true,,349,589,3,3,http://172.31.82.187:8000/,5466,0,1
1686704695313,5759,HTTP Request,200,OK,Thread Group 1-1,text,true,,349,589,3,3,http://172.31.82.187:8000/,5759,0,1
1686704695508,5739,HTTP Request,200,OK,Thread Group 1-2,text,true,,349,589,3,3,http://172.31.82.187:8000/,5739,0,2
1686704698157,5517,HTTP Request,200,OK,Thread Group 1-3,text,true,,350,589,3,3,http://172.31.82.187:8000/,5517,0,1
1686704700935,5621,HTTP Request,200,OK,Thread Group 1-1,text,true,,350,589,3,3,http://172.31.82.187:8000/,5621,0,1
1686704701188,5679,HTTP Request,200,OK,Thread Group 1-2,text,true,,350,589,3,3,http://172.31.82.187:8000/,5679,0,2
1686704703607,5450,HTTP Request,200,OK,Thread Group 1-3,text,true,,350,589,3,3,http://172.31.82.187:8000/,5450,0,2
1686704705484,4549,HTTP Request,200,OK,Thread Group 1-1,text,true,,349,589,2,2,http://172.31.82.187:8000/,4549,0,1
1686704705667,4479,HTTP Request,200,OK,Thread Group 1-2,text,true,,348,589,1,1,http://172.31.82.187:8000/,4479,0,1
