timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1687728233600,8417,HTTP Request,200,OK,Thread Group 1-1,text,true,,350,588,10,10,http://172.31.30.61:8000,8406,0,22
1687728233606,8428,HTTP Request,200,OK,Thread Group 1-9,text,true,,350,588,10,10,http://172.31.30.61:8000,8413,0,29
1687728236007,10841,HTTP Request,200,OK,Thread Group 1-7,text,true,,349,588,10,10,http://172.31.30.61:8000,10840,0,42
1687728236792,11621,HTTP Request,200,OK,Thread Group 1-2,text,true,,349,588,10,10,http://172.31.30.61:8000,11621,0,37
1687728237883,12714,HTTP Request,200,OK,Thread Group 1-10,text,true,,349,588,10,10,http://172.31.30.61:8000,12714,0,39
1687728238556,13391,HTTP Request,200,OK,Thread Group 1-3,text,true,,350,588,10,10,http://172.31.30.61:8000,13391,0,43
1687728239000,13818,HTTP Request,200,OK,Thread Group 1-4,text,true,,350,588,10,10,http://172.31.30.61:8000,13817,0,25
1687728239156,13981,HTTP Request,200,OK,Thread Group 1-5,text,true,,350,588,10,10,http://172.31.30.61:8000,13981,0,33
1687728239282,14115,HTTP Request,200,OK,Thread Group 1-6,text,true,,349,588,10,10,http://172.31.30.61:8000,14115,0,41
1687728239300,14118,HTTP Request,200,OK,Thread Group 1-8,text,true,,350,588,10,10,http://172.31.30.61:8000,14118,0,26
1687728244742,11124,HTTP Request,200,OK,Thread Group 1-1,text,true,,350,588,10,10,http://172.31.30.61:8000,11124,0,1
1687728245825,9818,HTTP Request,200,OK,Thread Group 1-7,text,true,,350,588,10,10,http://172.31.30.61:8000,9818,0,1
1687728245927,12315,HTTP Request,200,OK,Thread Group 1-9,text,true,,350,588,10,10,http://172.31.30.61:8000,12315,0,1
1687728247382,10589,HTTP Request,200,OK,Thread Group 1-2,text,true,,349,588,10,10,http://172.31.30.61:8000,10588,0,1
1687728249422,11539,HTTP Request,200,OK,Thread Group 1-10,text,true,,350,588,10,10,http://172.31.30.61:8000,11539,0,1
1687728250455,11899,HTTP Request,200,OK,Thread Group 1-3,text,true,,350,588,10,10,http://172.31.30.61:8000,11899,0,2
1687728251177,12177,HTTP Request,200,OK,Thread Group 1-4,text,true,,350,588,10,10,http://172.31.30.61:8000,12177,0,2
1687728252508,13207,HTTP Request,200,OK,Thread Group 1-8,text,true,,350,588,10,10,http://172.31.30.61:8000,13207,0,1
1687728253092,13809,HTTP Request,200,OK,Thread Group 1-6,text,true,,350,588,10,10,http://172.31.30.61:8000,13809,0,1
1687728253296,14139,HTTP Request,200,OK,Thread Group 1-5,text,true,,350,588,10,10,http://172.31.30.61:8000,14139,0,4
1687728256261,11517,HTTP Request,200,OK,Thread Group 1-1,text,true,,349,588,10,10,http://172.31.30.61:8000,11517,0,1
1687728258097,12168,HTTP Request,200,OK,Thread Group 1-9,text,true,,349,588,10,10,http://172.31.30.61:8000,12168,0,4
1687728258204,12378,HTTP Request,200,OK,Thread Group 1-7,text,true,,350,588,10,10,http://172.31.30.61:8000,12378,0,1
1687728258505,11123,HTTP Request,200,OK,Thread Group 1-2,text,true,,350,588,10,10,http://172.31.30.61:8000,11123,0,2
1687728260387,10965,HTTP Request,200,OK,Thread Group 1-10,text,true,,348,588,10,10,http://172.31.30.61:8000,10964,0,1
1687728262058,11604,HTTP Request,200,OK,Thread Group 1-3,text,true,,350,588,10,10,http://172.31.30.61:8000,11604,0,1
1687728263097,11920,HTTP Request,200,OK,Thread Group 1-4,text,true,,350,588,10,10,http://172.31.30.61:8000,11920,0,1
1687728264636,12128,HTTP Request,200,OK,Thread Group 1-8,text,true,,350,588,10,10,http://172.31.30.61:8000,12128,0,1
1687728265217,12125,HTTP Request,200,OK,Thread Group 1-6,text,true,,350,588,10,10,http://172.31.30.61:8000,12125,0,1
1687728265453,12157,HTTP Request,200,OK,Thread Group 1-5,text,true,,350,588,10,10,http://172.31.30.61:8000,12157,0,1
1687728267031,10770,HTTP Request,200,OK,Thread Group 1-1,text,true,,350,588,10,10,http://172.31.30.61:8000,10770,0,1
1687728270020,11923,HTTP Request,200,OK,Thread Group 1-9,text,true,,350,588,10,10,http://172.31.30.61:8000,11923,0,1
1687728270309,12105,HTTP Request,200,OK,Thread Group 1-7,text,true,,349,588,10,10,http://172.31.30.61:8000,12105,0,1
